id,symbol,name
agora-defi,agora,Agora Defi
agoras-currency-of-tau,agrs,Agoras: Currency of Tau
agoric,bld,Agoric
agrello,dlt,Agrello
agricoin,agn,Agricoin
agrinode,agn,AgriNode
agro-global,agro,Agro Global
agronomist,agte,Agronomist
agx-coin,agx,AGX Coin
ahatoken,aht,AhaToken
a-hunters-dream,caw,A Hunters Dream
aibra,abr,AIBRA
ai-card-render,acr,AI Card Render
aichain,ait,AICHAIN
aicon,aico,Aicon
aidcoin,aid,AidCoin
aidi-finance-2,aidi,Aidi Finance
ai-dogemini,aidogemini,AI DogeMini
aidos-kuneen,adk,Aidos Kuneen
ai-floki,aifloki,AI Floki
aimedis-new,aimx,Aimedis (NEW)
ai-network,ain,AI Network
ainu-token,ainu,Ainu
aion,aion,Aion
aioz-network,aioz,AIOZ Network
aipad,aipad,AIPad
aipro,aipro,AIPRO
airbloc-protocol,abl,Airbloc
aircoin-2,air,AirCoin
aircoins,airx,Aircoins
airight,airi,aiRight
airnft-token,airt,AirNFT
airswap,ast,AirSwap
airtnt,airtnt,AirTnT
airtor-protocol,ator,AirTor Protocol
ai-smart-chain,aisc,Ai Smart Chain
ai-trader,ait,AI Trader
aitravis,tai,AITravis
aiwallet,aiwallet,AiWallet
aiwork,awo,AiWork
ajuna-network,baju,Ajuna Network
akash-network,akt,Akash Network
aki-protocol,aki,Aki Protocol
akita-dao,hachi,Akita DAO
akita-inu,akita,Akita Inu
akita-inu-asa,akta,Akita Inu ASA
akitavax,akitax,Akitavax
akitsuki,aki,Akitsuki
akoin,akn,Akoin
akroma,aka,Akroma
akropolis,akro,Akropolis
akropolis-delphi,adel,Delphi
aktio,aktio,Aktio
aladdin-cvxcrv,acrv,Aladdin cvxCRV
aladdin-dao,ald,Aladdin DAO
alanyaspor-fan-token,ala,Alanyaspor Fan Token
alaya,atp,Alaya
albedo,albedo,ALBEDO
alcazar,alcazar,Alcazar
alchemist,mist,Alchemist
alchemix,alcx,Alchemix
alchemix-eth,aleth,Alchemix ETH
alchemix-usd,alusd,Alchemix USD
alchemy-pay,ach,Alchemy Pay
aldrin,rin,Aldrin
aleph,aleph,Aleph.im
alephium,alph,Alephium
aleph-zero,azero,Aleph Zero
alert,alert,ALERT
alethea-artificial-liquid-intelligence-token,ali,Artificial Liquid Intelligence
alexgo,alex,ALEX Lab
alfa-romeo-racing-orlen-fan-token,sauber,Alfa Romeo Racing ORLEN Fan Token
alfprotocol,alf,AlfProtocol
algebra,algb,Algebra
algoblocks,algoblk,AlgoBlocks
algodao,adao,AlgoDAO
algofund,algf,AlgoFund
algomint,gomint,Algomint
algorand,algo,Algorand
algory,alg,Algory
algostable,stbl,AlgoStable
algostake,stke,AlgoStake
alibabacoin,abbc,ABBC
alibaba-tokenized-stock-defichain,dbaba,Alibaba Tokenized Stock Defichain
alicenet,alca,AliceNet
alien-chicken-farm,acf,Alien Chicken Farm
alienfi,alien,AlienFi
alien-inu,alien,Alien Inu
alienswap,alien,AlienSwap
alien-worlds,tlm,Alien Worlds
alif-coin,alif,AliF Coin
alink-ai,alink,ALINK AI
alita,ali,Alita
alitas,alt,Alitas
alium-finance,alm,Alium Finance
alkimi,$ads,Alkimi
all-art,aart,ALL.ART
allbridge,abr,Allbridge
all-coins-yield-capital,acyc,All Coins Yield Capital
allianceblock,albt,AllianceBlock
allianceblock-nexera,nxra,AllianceBlock Nexera
alliance-fan-token,all,Alliance Fan Token
alliance-x-trading,axt,Alliance X Trading
all-in,allin,All In
all-in-ai,aiai,ALLINAI
all-in-gpt,aigpt,All In GPT
allium-finance,alm,Allium Finance
all-me,me,All.me
allpaycoin,apcg,ALLPAYCOIN
allsafe,asafe,AllSafe
all-sports-2,soc,All Sports
allstars,asx,AllStars
all-time-high,ath,All Time High
alluo,alluo,Alluo
ally,aly,Ally
ally-direct,drct,Ally Direct
almira-wallet,almr,Almira Wallet
almond,alm,Almond
alnair-finance-nika,nika,Alnair Finance NIKA
alnassr-fc-fan-token,nassr,Alnassr FC Fan Token
aloha,aloha,Aloha
alongside-crypto-market-index,amkt,Alongside Crypto Market Index
alon-mars,alonmars,Alon Mars
alpaca,alpa,Alpaca City
alpaca-finance,alpaca,Alpaca Finance
alpha5,a5t,Alpha5
alphabet,alt,Alphabet
alpha-brain-capital-2,acap,Alpha Capital
alphacoin,alpha,Alpha Coin
alpha-dex,roar,Alpha DEX
alpha-finance,alpha,Alpha Venture DAO
alpha-intelligence,$ai,Alpha Intelligence
alpha-quark-token,aqt,Alpha Quark
alpharushai,rushai,AlphaRushAI
alpha-shares-v2,$alpha,Alpha Shares V2
alphatoken,.alpha,.Alpha
alphr,alphr,Alphr
alpine-f1-team-fan-token,alpine,Alpine F1 Team Fan Token
altair,air,Altair
altava,tava,ALTAVA
altbase,altb,Altbase
altcommunity-coin,altom,ALTOM
alter,alter,Alter
altered-state-token,asto,Altered State Machine
altfins,afins,altFINS
altfolio,alt,altfolio
alt-markets,amx,Alt Markets
altrucoin-2,altrucoin,Altrucoin
altswitch,alts,AltSwitch
altura,alu,Altura
aluna,aln,Aluna
alvey-chain,walv,Alvey Chain
alyattes,alya,Alyattes
amasa,amas,Amasa
amateras,amt,Amateras
amaterasufi-izanagi,iza,AmaterasuFi Izanagi
amaurot,ama,AMAUROT
amax-network,amax,AMAX Network
amazewallet,amt,AmazeToken
amazingdoge,adoge,AmazingDoge
amazingteamdao,amazingteam,AmazingTeamDAO
amazon-tokenized-stock-defichain,damzn,Amazon Tokenized Stock Defichain
amazy,azy,Amazy
amazy-move-token,amt,Amazy Move Token
amber,amb,AirDAO
ambire-wallet,wallet,Ambire Wallet
amdg-token,amdg,AMDG
amepay,ame,AME Chain
american-shiba,ushiba,American Shiba
amgen,amg,Amgen
amlp,amlp,aMLP
ammf,ammf,aMMF
ammyi-coin,ami,AMMYI Coin
amo,amo,AMO Coin
amond,amon,AmonD
ampleforth,ampl,Ampleforth
ampleforth-governance-token,forth,Ampleforth Governance
ampleswap,ample,AmpleSwap
amplifi-dao,agg,AmpliFi DAO
ampnet,aapx,AMPnet
amp-token,amp,Amp
amulet-staked-sol,amtsol,Amulet Staked SOL
amz-coin,amz,AMZ Coin
anarchy,anarchy,Anarchy
a-nation,anation,A-Nation
anchor-neural-world-token,anw,Anchor Neural World
anchor-protocol,anc,Anchor Protocol
anchorswap,anchor,AnchorSwap
ancient-kingdom,dom,Ancient Kingdom
ancient-raid,raid,Ancient Raid
andronodes,andro,AndroNodes
anduschain,deb,Anduschain
angel-dust,ad,Angel Dust
angelscreed,angel,AngelsCreed
angle-protocol,angle,ANGLE
angola,agla,Angola
angryb,anb,Angryb
angry-bulls-club,abc,Angry Bulls Club
anifi-world,anifi,AniFi World
animal-concerts-token,anml,Animal Concerts
animal-farm,afd,Animal Farm Dogs
animeswap,ani,AnimeSwap
anime-token,ani,Anime
animverse,anm,Animverse
aniverse,anv,Aniverse
aniverse-metaverse,aniv,Aniverse Metaverse
anji,anji,Anji
ankaragucu-fan-token,anka,Ankaragücü Fan Token
ankr,ankr,Ankr Network
ankreth,ankreth,Ankr Staked ETH
ankr-reward-bearing-ftm,ankrftm,Ankr Staked FTM
ankr-reward-earning-matic,ankrmatic,Ankr Staked MATIC
ankr-staked-avax,ankravax,Ankr Staked AVAX
ankr-staked-bnb,ankrbnb,Ankr Staked BNB
anomus-coin,anom,Anomus Coin
anon,anon,ANON
anon-inu,ainu,Anon Inu
anonydoxx,adxx,AnonyDoxx
anonymous-bsc,anon,Anonymous BSC
anonzk,azk,AnonZK
anrkey-x,$anrx,AnRKey X
answer-governance,agov,Answer Governance
answerly,ansr,Answerly
antalyaspor,akrep,Antalyaspor
antedao,ante,AnteDAO
antfarm-governance-token,agt,Antfarm Governance Token
antfarm-token,atf,Antfarm Token
antgold,antg,AntGold
antiample,xamp,Antiample
antimatter,matter,AntiMatter
antnetworx,antx,AntNetworX
anubit,anb,Anubit
any-blocknet,ablock,ANY Blocknet
anypad,apad,Anypad
anyswap,any,Anyswap
aok,aok,AOK
aonea-coin,a1a,Aonea Coin
apass-coin,apc,APass Coin
apch,apch,APCH
apecoin,ape,ApeCoin
apedoge,aped,Apedoge
ape-finance,apefi,Ape Finance
ape-fun-token,aft,Ape Fun
ape-in,apein,Ape In
ape_in_records,air,Ape In Records
apejet,jet,ApeJet
apemove,ape,APEmove
apenft,nft,APENFT
apeswap-finance,banana,ApeSwap
ape-universe,apeu,Ape Universe
apexit-finance,apex,ApeXit Finance
apex-protocol,apxp,APEX Protocol
apex-token-2,apex,ApeX
api3,api3,API3
apidae,apt,Apidae
apix,apix,APIX
apm-coin,apm,apM Coin
apollo,apl,Apollo
apollo-crypto,apollo,Apollo Crypto
apollon-limassol,apl,Apollon Limassol Fan Token
apollox-2,apx,ApolloX
appcoins,appc,AppCoins
appics,apx,Appics
apple-binemon,amb,Apple (Binemon)
apple-tokenized-stock-defichain,daapl,Apple Tokenized Stock Defichain
apricot,aprt,Apricot
april,april,April
apron,apn,Apron
aptoge,aptoge,Aptoge
aptos,apt,Aptos
aptos-launch-token,alt,AptosLaunch Token
apwine,apw,APWine
apy-finance,apy,APY.Finance
apyswap,apys,APYSwap
apy-vision,vision,APY.vision
aquachain,aqua,Aquachain
aquadao,$aqua,AquaDAO
aqua-goat,aquagoat,Aqua Goat
aquanee,aqdc,Aquanee
aquari,aquari,Aquari
aquarius,aqua,Aquarius
aquariuscoin,arco,AquariusCoin
aquarius-fi,aqu,Aquarius.Fi
aquatank,aqua,AquaTank
aqua-unicorn,auni,Aqua Unicorn
arabian-doge,$adoge,Arabian Doge
arabic,abic,Arabic
arable-protocol,acre,Arable Protocol
arable-usd,arusd,Arable USD
aragon,ant,Aragon
ara-token,ara,Ara
arbidoge,adoge,ArbiDoge
arbigoat,agt,ArbiGoat
arbinu,arbinu,Arbinu
arbinyan,nyan,ArbiNYAN
arbiroul-casino-chip,roul,ArbiRoul Casino Chip
arbis-finance,arbis,Arbis Finance
arbismart-token,rbis,ArbiSmart
arbisphere-launchpad,arsh,Arbisphere Launchpad
arbiswap-42983059-37e1-4a8f-b46e-0d908c0d4cc0,arbi,ArbiSwap
arbiten,arbiten,ArbiTen
arbiten-10share,10share,ArbiTen 10SHARE
arbitrum,arb,Arbitrum
arbitrum-charts,arcs,Arbitrum Charts
arbitrum-exchange,arx,Arbidex
arbitrumpad,arbpad,ArbitrumPad
arbi-wiz,awiz,Arbi Wiz
arb-protocol,arb,ARB Protocol
arbucks,buck,Arbucks
arbys,arbys,Arbys
arbzilla,zilla,ArbZilla
arc,arc,Arc
arcade2earn,arcade,Arcade2Earn
arcade-canine,okinu,Arcade Canine
arcade-kingdoms,ack,Arcade Kingdoms
arcadeum,arc,Arcadeum
arcadium,arcadium,Arcadium
arcblock,abt,Arcblock
arcc,arcc,ARCC
archangel-token,archa,ArchAngel
arch-blockchains,chain,Arch Blockchains
archer-dao-governance-token,arch,Archer DAO Governance
archerswap-bow,bow,Archerswap BOW
archerswap-hunter,hunt,ArcherSwap Hunter
arch-ethereum-web3,web3,Arch Ethereum Web3
archethic,uco,Archethic
archie-neko,archie,Archie Neko
archimedes,arch,Archimedes Finance
archive-ai,arcai,Archive AI
archloot,alt,ArchLoot
arcona,arcona,Arcona
arcs,arx,ARCS
ardana,dana,Ardana
ardcoin,ardx,ArdCoin
ardor,ardr,Ardor
arenaplay,apc,ArenaPlay
arena-token,arena,ArenaSwap
arenum,arnm,Arenum
areon-network,area,Areon Network
ares3-network,ares,Ares3 Network
ares-protocol,ares,Ares Protocol
argentine-football-association-fan-token,arg,Argentine Football Association Fan Token
argo,argo,ArGoApp
argo-finance,argo,Argo Finance
argon,argon,Argon
argonon-helium,arg,Argonon Helium
ari10,ari10,Ari10
aria-currency,ria,aRIA Currency
ariadne,ardn,Ariadne
arianee,aria20,Arianee
aries-financial-token,afib,Aries Financial
arion,arion,Arion
ari-swap,ari,Ari Swap
ariva,arv,Ariva
arix,arix,Arix
arize,arz,ARize
ark,ark,ARK
arkadiko-protocol,diko,Arkadiko
arkadiko-usda,usda,Arkadiko USDA
arkania-protocol,ania,Arkania Protocol
arken-finance,$arken,Arken Finance
arker-2,arker,Arker
ark-innovation-etf-defichain,darkk,ARK Innovation ETF Defichain
ark-rivals,arkn,Ark Rivals
armor,armor,ARMOR
armor-nxm,arnxm,Armor NXM
army-node-finance,army,Army Node Finance
arnoya-classic,arnc,Arnoya classic
arora,aror,Arora
arowana-token,arw,Arowana
arpa,arpa,ARPA
arqma,arq,ArQmA
arrow,arw,Arrow
arsenal-fan-token,afc,Arsenal Fan Token
artbyte,aby,ArtByte
arte,arte,ARTE
artem,artem,Artem
artemis,mis,Artemis
artemis-vision,arv,Artemis Vision
arteq-nft-investment-fund,arteq,artèQ NFT Investment Fund
artery,artr,Artery
art-gobblers-goo,goo,Art Gobblers Goo
artgpt,agpt,artGPT
arth,arth,ARTH
arthswap,arsw,ArthSwap
artic-foundation,artic,ARTIC Foundation
articoin,atc,ArtiCoin
artificial-intelligence,ai,Artificial Intelligence
artificial-intelligence-technology-network,aitn,Artificial Intelligence Technology Network
artify,afy,Artify
artik,artk,Artik
arti-project,arti,Arti Project
artizen,atnt,Artizen
artkit,arti,ArtKit
artl,artl,ARTL
artm,artm,ARTM
artmeta,$mart,ArtMeta
artrade,atr,Artrade
artube,att,Artube
artx,artx,ARTX
arweave,ar,Arweave
aryacoin,aya,Aryacoin
asan-verse,asan,ASAN VERSE
ascension,asn,Ascension
ascension-protocol,ascend,Ascension Protocol
asd,asd,AscendEx
asgard-games,asg,Asgard Games
asgardian-aereus,volt,Asgardian Aereus
asgardx,odin,AsgardX
ash,ash,ASH
ashera,ash,Ashera
ashswap,ash,AshSwap
ash-token,ash,Ash Token
asia-coin,asia,Asia Coin
asic-token,asic,ASIC Token
asimi,asimi,ASIMI
asix,asix,ASIX
asixplus,asix+,AsixPlus
ask-chip,chip,Ask Chip
askobar-network,asko,Asko
as-monaco-fan-token,asm,AS Monaco Fan Token
aspire,asp,Aspire
aspo-world,aspo,ASPO World
as-roma-fan-token,asr,AS Roma Fan Token
assangedao,justice,AssangeDAO
assaplay,assa,AssaPlay
assemble-protocol,asm,Assemble Protocol
assent-protocol,asnt,Assent Protocol
assetmantle,mntl,AssetMantle
asta,asta,ASTA
astar,astr,Astar
aster,atc,Aster
ast-finance,ast,AST.finance
aston-martin-cognizant-fan-token,am,Aston Martin Cognizant Fan Token
aston-villa-fan-token,avl,Aston Villa Fan Token
astra-dao,astra,Astra DAO
astrafer,astrafer,Astrafer
astra-guild-ventures,agv,Astra Guild Ventures
astral-ai,astral,Astral AI
astral-credits,xac,Astral Credits
astrals-glxy,glxy,Astrals GLXY
astra-nova,$rvv,Astra Nova
astra-protocol-2,astra,Astra Protocol
astrazion,aznt,AstraZion
astriddao-token,atid,AstridDAO
astroai,astroai,AstroAI
astro-babies,abb,Astro Babies
astrobirdz,abz,AstroBirdz
astro-cash,astro,Astro Cash
astroelon,elonone,AstroElon
astronaut,naut,Astronaut
astroport,astroc,Astroport Classic
astroport-fi,astro,Astroport
astrospaces-io,spaces,AstroSpaces.io
astroswap,astro,AstroSwap
astrotools,astro,AstroTools
astro-verse,asv,Astro Verse
astrox,atx,AstroX
asva,asva,Asva Labs
asyagro,asy,ASYAGRO
atari,atri,Atari
athena-returns-olea,olea,Athena Returns Olea
athenas,athenasv2,Athenas
atheneum,aem,Atheneum
athens,ath,Athens
athos-finance,ath,Athos Finance
athos-finance-usd,athusd,Athos Finance USD
atlantis,atlas,Atlantis
atlantis-coin,atc,Atlantis Coin
atlantis-loans,atl,Atlantis Loans
atlantis-loans-polygon,atlx,Atlantis Loans Polygon
atlantis-metaverse,tau,Atlantis Metaverse
atlas-aggregator,ata,Atlas Aggregator
atlas-dex,ats,Atlas DEX
atlas-fc-fan-token,atlas,Atlas FC Fan Token
atlas-navi,navi,Atlas Navi
atlas-protocol,atp,Atlas Protocol
atlas-usv,usv,Atlas USV
atletico-madrid,atm,Atletico Madrid Fan Token
atomic-wallet-coin,awc,Atomic Wallet Coin
atompad,atpad,AtomPad
atpay,atpay,AtPay
atrollcity,pine,Atrollcity
atromg8,ag8,ATROMG8
attack-wagon,atk,Attack Wagon
attila,att,Attila
auction,auction,Bounce
auctus,auc,Auctus
auditchain,audt,Auditchain
audius,audio,Audius
audius-wormhole,audio,Audius (Wormhole)
augmented-finance,agf,Augmented Finance
augur,rep,Augur
augury-finance,omen,Augury Finance
aura-bal,aurabal,Aura BAL
auradx,dalle2,AuradX
aura-finance,aura,Aura Finance
auragi,agi,Auragi
aura-network,aura,Aura Network
aureo,aur,AUREO
aureus-nummus-gold,ang,Aureus Nummus Gold
auric-network,auscm,Auric Network
aurigami,ply,Aurigami
aurix,aur,Aurix
aurora,aoa,Aurora Chain
auroracoin,aur,Auroracoin
aurora-dao,idex,IDEX
aurora-near,aurora,Aurora
auroratoken,aurora,AuroraToken
aurora-token,$adtx,Aurora Dimension
aurory,aury,Aurory
aurusx,ax,AurusX
ausdc,ausdc,SpaceShipX aUSDC
australian-safe-shepherd,ass,Australian Safe Shepherd
authencity,auth,Authencity
auto,auto,Auto
autobahn-network,txl,Autobahn Network
autocrypto,au,AutoCrypto
automata,ata,Automata
autominingtoken,amt,AutoMiningToken
auton,atn,Auton
autonio,niox,Autonio
autoshark,jaws,AutoShark
autosingle,autos,AutoSingle
auto-staked-alex,atalex,Auto Staked ALEX
autumn,autumn,Autumn
aux-coin,aux,AUX Coin
auxilium,aux,Auxilium
avadex-token,avex,AvaDex Token
avalanche-2,avax,Avalanche
avalanche-wormhole,avax,Avalanche (Wormhole)
